stop_I,stop_id,code,name,desc,lat,lon,parent_I,location_type,wheelchair_boarding,self_or_parent_I
1,1010103,2008,Kirkkokatu,Mariankatu 13,60.17127,24.95657,,0,2,1
2,1010105,2010,Vironkatu,Mariankatu 17,60.17258,24.956554,,0,2,2
3,1010107,2014,Meritullinkatu,Liisankatu 8,60.17418,24.95688,,0,2,3
4,1010108,2013,Meritullinkatu,Liisankatu 11,60.174297,24.956514,,0,2,4
5,1010109,2016,Liisanpuistikko,Liisankatu,60.17428,24.96071,,0,2,5
6,1010110,2015,Liisanpuistikko,Liisankatu 1,60.17433,24.96023,,0,2,6
7,1010124,0454,Snellmaninkatu,Liisankatu 20,60.17401,24.95236,,0,1,7
8,1010125,0455,Snellmaninkatu,Liisankatu 25,60.17407,24.95208,,0,1,8
9,1010126,2018,Liisanpuistikko,Pohjoisranta,60.17398,24.96117,,0,2,9
10,1010127,2017,Pohjoisranta,Kirkkokatu 1,60.17103,24.95895,,0,2,10
11,1010128,2012,Liisankatu,Mariankatu 23,60.17397,24.9562,,0,2,11
12,1010419,0450,Hallituskatu,Snellmaninkatu 4,60.17014,24.953501,,0,1,12
13,1010420,0451,Hallituskatu,Snellmaninkatu 3,60.17036,24.95353,,0,2,13
14,1010421,0453,Kansallisarkisto,Snellmaninkatu 13,60.17216,24.95335,,0,1,14
15,1010422,0452,Kansallisarkisto,Snellmaninkatu 8,60.17183,24.95326,,0,1,15
16,1010424,0408,Ritarihuone,Aleksanterinkatu,60.16915,24.95611,,0,1,16
17,1010425,0407,Ritarihuone,Aleksanterinkatu 10,60.16912,24.95556,,0,1,17
18,1010427,0455,Snellmaninkatu,Liisankatu 25,60.17407,24.95208,,0,2,18
19,1010428,0454,Snellmaninkatu,Liisankatu 20,60.17401,24.95236,,0,2,19
20,1010451,0448,Senaatintori,Aleksanterinkatu,60.16906,24.95146,,0,1,20
22,1020105,2061,Kaisaniemenpuisto,Unioninkatu 43,60.17502,24.95049,,0,2,22
23,1020106,2060,Kaisaniemenpuisto,Kaisaniemenkatu,60.17348,24.94914,,0,2,23
24,1020113,2041,Rautatientori,Rautatientori,60.17072,24.94324,7513.0,0,0,7513
25,1020115,2043,Rautatientori,Rautatientori,60.17141,24.94266,7513.0,0,0,7513
26,1020116,2044,Rautatientori,Rautatientori,60.17108,24.94283,7513.0,0,0,7513
27,1020117,2045,Rautatientori,Rautatientori,60.17133,24.94277,7513.0,0,0,7513
28,1020119,2047,Rautatientori,Rautatientori,60.17095,24.94308,7513.0,0,0,7513
29,1020120,2048,Rautatientori,Rautatientori,60.17132,24.94302,7513.0,0,0,7513
30,1020121,2049,Rautatientori,Rautatientori,60.17164,24.94299,7513.0,0,0,7513
31,1020122,2050,Rautatientori,Rautatientori,60.17085,24.94333,7513.0,0,0,7513
32,1020123,2051,Rautatientori,Rautatientori,60.17134,24.94329,7513.0,0,0,7513
33,1020124,2056,Kaivokatu,Kaivokatu,60.170187,24.939029,,0,2,33
34,1020128,2020,Elielinaukio,Elielinaukio,60.171203,24.93958,7512.0,0,0,7512
35,1020129,2021,Elielinaukio,Elielinaukio,60.17165,24.93972,7512.0,0,0,7512
36,1020131,2022,Elielinaukio,Elielinaukio,60.17182,24.93984,7512.0,0,0,7512
37,1020132,2025,Elielinaukio,Elielinaukio,60.17195,24.93975,7512.0,0,0,7512
38,1020133,2023,Elielinaukio,Elielinaukio,60.17179,24.93974,7512.0,0,0,7512
39,1020134,2057,Rautatientori,Kaivokatu 4,60.17034,24.94382,7513.0,0,2,7513
40,1020135,2024,Elielinaukio,Elielinaukio,60.17186,24.93972,7512.0,0,0,7512
41,1020140,2055,Kaivokatu,Kaivokatu 12,60.17022,24.93943,,0,2,41
42,1020169,2059,Kaisaniemenpuisto,Kaisaniemenkatu,60.173545,24.94981,,0,2,42
43,1020171,2038,Postitalo,Postikatu,60.170863,24.938568,,0,0,43
44,1020174,1903,Lasipalatsi,Mannerheimintie 9,60.17033,24.93807,,0,2,44
45,1020175,2058,Rautatientori,Mikonkatu,60.17113,24.9448,7513.0,0,2,7513
46,1020176,2039,Postitalo,Postikatu,60.17101,24.938253,,0,1,46
47,1020177,1902,Lasipalatsi,Mannerheimintie,60.170197,24.937442,,0,0,47
48,1020182,2042,Rautatientori,Rautatientori,60.17098,24.9427,7513.0,0,0,7513
49,1020201,,Rautatientori,Vilhonkatu,60.17192,24.94376,7513.0,0,0,7513
50,1020228,2020,Elielinaukio,Elielinaukio,60.17113,24.93974,7512.0,0,0,7512
